"PDB","Virus","Variant","Domain","Antibody","Receptor/Other","Resolution","Release Date","Reference"
"7mw4","SARS-CoV-2","Orig","full","antibody clone 6","null","3.42","2022-03-16","null"
"7mw3","SARS-CoV-2","Orig","full","antibody clone 6","null","3.15","2022-03-16","null"
"7mw2","SARS-CoV-2","Orig","full","antibody clone 6","null","2.97","2022-03-16","null"
"7x08","SARS-CoV-2","Orig","full","2G1","null","2.7","2022-03-09","35169121"
"7wpc","SARS-CoV-2","Omicron","RBD","","ACE2","2.57","2022-03-09","35133176"
"7wpb","SARS-CoV-2","Omicron","RBD","","ACE2","2.79","2022-03-09","35133176"
"7wpa","SARS-CoV-2","Omicron","RBD","","ACE2","2.77","2022-03-09","35133176"
"7wp9","SARS-CoV-2","Omicron","full","null","null","2.56","2022-03-09","35133176"
"7tgy","SARS-CoV-2","Wild","full","null","null","3.0","2022-03-09","null"
"7tgx","SARS-CoV-2","Wild","full","null","null","3.2","2022-03-09","null"
"7tgw","SARS-CoV-2","Omicron","full","null","null","3.0","2022-03-09","null"
"7tge","SARS-CoV-2","Omicron","full","null","null","3.68","2022-03-09","null"
"7s5r","SARS-CoV-2","Orig","RBD","CV07-287, COVA1-16","null","2.45","2022-03-09","35076281"
"7s5q","SARS-CoV-2","Beta","RBD","CS44, COVA1-16","null","2.88","2022-03-09","35076281"
"7s5p","SARS-CoV-2","Beta","RBD","CS23","null","2.86","2022-03-09","35076281"
"7r19","SARS-CoV-2","Cluster 5","full","null","null","3.3","2022-03-09","null"
"7r18","SARS-CoV-2","Cluster 5","full","null","null","3.0","2022-03-09","null"
"7r17","SARS-CoV-2","Beta","full","null","null","3.7","2022-03-09","null"
"7r16","SARS-CoV-2","Beta","full","null","null","3.5","2022-03-09","null"
"7r15","SARS-CoV-2","Alpha","full","null","null","4.10","2022-03-02","null"
"7r14","SARS-CoV-2","Alpha","full","null","null","3.4","2022-03-09","null"
"7r13","SARS-CoV-2","Alpha","full","null","null","3.6","2022-03-09","null"
"7r12","SARS-CoV-2","Cluster 5","RBD","","ACE2","3.3","2022-03-09","null"
"7r11","SARS-CoV-2","Beta","RBD","","ACE2","3.5","2022-03-09","null"
"7r1b","SARS-CoV-2","Cluster 5","full","null","null","2.8","2022-03-09","null"
"7r0z","SARS-CoV-2","Alpha","RBD","","ACE2","3.5","2022-03-09","null"
"7q1z","SARS-CoV-2","Orig","full","null","null","3.4","2022-03-09","null"
"7e9q","SARS-CoV-2","none","full","35B5","null","3.65","2022-03-09","null"
"7e9o","SARS-CoV-2","none","full","35B5","null","3.41","2022-03-09","null"
"7wvo","SARS-CoV-2","Omicron","full","null","null","3.41","2022-03-02","null"
"7wvn","SARS-CoV-2","Omicron","full","null","null","3.4","2022-03-02","null"
"7vyr","SARS-CoV-2","none","RBD","D27","null","2.2","2022-03-02","35030983"
"7thk","SARS-CoV-2","Omicron B.1.1.529","full","null","null","3.11","2022-03-02","35172173"
"7r10","SARS-CoV-2","Alpha","RBD, NTD","","ACE2","4.0","2022-03-02","null"
"7r1a","SARS-CoV-2","Alpha","full","","ACE2","3.9","2022-03-02","null"
"7tp4","SARS-CoV-2","Orig","RBD","K398.22","null","1.95","2022-02-23","null"
"7tl9","SARS-CoV-2","Omicron","full","null","null","3.5","2022-02-23","35118469"
"7tl1","SARS-CoV-2","Omicron","full","null","null","3.5","2022-02-23","35118469"
"7q0a","SARS-CoV-2","Orig","full","FI3A","null","4.8","2022-02-23","34987630"
"7to4","SARS-CoV-2","Omicron","full","null","null","3.4","2022-02-16","null"
"7tnw","SARS-CoV-2","Omicron","full","null","null","3.1","2022-02-16","null"
"7tht","SARS-CoV-2","Orig","full","DH1042","null","3.42","2022-02-16","null"
"7tf8","SARS-CoV-2","Omicron","full","null","null","3.36","2022-02-16","35118469"
"7tei","SARS-CoV-2","Omicron","full","null","null","3.4","2022-02-16","35118469"
"7tpl","SARS-CoV-2","Delta","full","null","null","3.87","2022-02-09","35118469"
"7tph","SARS-CoV-2","Delta","full","null","null","3.58","2022-02-09","35118469"
"7tpf","SARS-CoV-2","Delta","full","null","null","3.4","2022-02-09","35118469"
"7tpe","SARS-CoV-2","Delta","full","null","null","4.0","2022-02-09","35118469"
"7tpc","SARS-CoV-2","Delta","full","null","null","3.91","2022-02-09","35118469"
"7tpa","SARS-CoV-2","Delta","full","null","null","3.6","2022-02-09","35118469"
"7tp9","SARS-CoV-2","Delta","full","null","null","3.48","2022-02-09","35118469"
"7tp8","SARS-CoV-2","Delta","full","null","null","3.4","2022-02-09","35118469"
"7tp7","SARS-CoV-2","Delta","full","null","null","3.48","2022-02-09","35118469"
"7tp2","SARS-CoV-2","Delta","full","null","null","3.72","2022-02-09","35118469"
"7tp1","SARS-CoV-2","Delta","full","null","null","3.81","2022-02-09","35118469"
"7tp0","SARS-CoV-2","Delta","full","null","null","3.57","2022-02-09","35118469"
"7toz","SARS-CoV-2","Delta","full","null","null","4.07","2022-02-09","35118469"
"7toy","SARS-CoV-2","Delta","full","null","null","3.53","2022-02-09","35118469"
"7tox","SARS-CoV-2","Delta","full","null","null","3.62","2022-02-09","35118469"
"7tov","SARS-CoV-2","Delta","full","null","null","3.16","2022-02-09","35118469"
"7tou","SARS-CoV-2","Delta","full","null","null","3.24","2022-02-09","35118469"
"7wk9","SARS-CoV-2","Omicron","full","S3H3","null","3.48","2022-02-02","null"
"7wk6","SARS-CoV-2","Omicron","RBD","","ACE2","3.67","2022-02-02","null"
"7wk5","SARS-CoV-2","Omicron","full","","ACE2","3.66","2022-02-02","null"
"7wk4","SARS-CoV-2","Omicron","full","","ACE2","3.69","2022-02-02","null"
"7wdf","SARS-CoV-2","Beta","full","S3H3","null","3.9","2022-02-02","34964428"
"7wd9","SARS-CoV-2","Beta","full","S3H3","null","3.7","2022-02-02","34964428"
"7wd8","SARS-CoV-2","Beta","SD1","S3H3","null","4.3","2022-02-02","34964428"
"7wd7","SARS-CoV-2","Beta","full","S5D2","null","3.5","2022-02-02","34964428"
"7wd0","SARS-CoV-2","Beta","full","S5D2","null","3.3","2022-02-02","34964428"
"7wcz","SARS-CoV-2","Beta","full","S5D2","null","3.5","2022-02-02","34964428"
"7wcr","SARS-CoV-2","Beta","RBD","S3H3","null","3.5","2022-02-02","34964428"
"7tm0","SARS-CoV-2","Omicron B.1.1.529","full","S309, S2L20","null","3.1","2022-02-02","35076256"
"7tlz","SARS-CoV-2","Omicron B.1.1.529","NTD","S309","null","3.3","2022-02-02","35076256"
"7tly","SARS-CoV-2","Omicron B.1.1.529","RBD","S309","null","3.0","2022-02-02","35076256"
"7tld","SARS-CoV-2","none","full","null","null","2.89","2022-02-02","null"
"7tlc","SARS-CoV-2","none","full","null","null","2.83","2022-02-02","null"
"7tlb","SARS-CoV-2","Orig","full","null","null","3.06","2022-02-02","null"
"7tla","SARS-CoV-2","Orig","full","null","null","3.13","2022-02-02","null"
"7sc1","SARS-CoV-2","none","full","R40-1G8","null","3.2","2022-02-02","34973165"
"7pr0","SARS-CoV-2","Orig","RBD","FD-5D","null","2.92","2022-02-02","34987630"
"7pqz","SARS-CoV-2","Orig","RBD","FI-3A, FD-11A","null","3.2","2022-02-02","34987630"
"7pqy","SARS-CoV-2","Orig","RBD","FI-3A","null","3.0","2022-02-02","34987630"
"7ns6","SARS-CoV-2","Orig","full","Fu2","null","3.18","2022-02-02","35013189"
"7nll","SARS-CoV-2","Orig","RBD","Fu2","null","2.89","2022-02-02","35013189"
"7f7e","SARS-CoV-2","Orig","RBD","A5-10","null","2.49","2022-02-02","35060840"
"7wka","SARS-CoV-2","Omicron","full","S3H3","null","3.64","2022-01-26","null"
"7wk8","SARS-CoV-2","Omicron","SD1","S3H3","null","3.61","2022-01-26","null"
"7wk3","SARS-CoV-2","Omicron","full","null","null","3.4","2022-01-26","null"
"7wk2","SARS-CoV-2","Omicron","full","null","null","3.1","2022-01-26","null"
"7wev","SARS-CoV-2","Beta","full","null","null","3.6","2022-01-26","34930910"
"7qo9","SARS-CoV-2","Omicron B.1.1.529","RBD, NTD","null","null","3.88","2022-01-26","null"
"7odl","SARS-CoV-2","Alpha","full","null","null","3.03","2022-01-26","35017512"
"7od3","SARS-CoV-2","Alpha","full","null","null","2.8","2022-01-26","35017512"
"7fce","SARS-CoV-2","Orig","full","null","null","3.1","2022-01-26","35017654"
"7fcd","SARS-CoV-2","Orig","full","null","null","3.9","2022-01-26","35017654"
"7qo7","SARS-CoV-2","Omicron B.1.1.529","full","null","null","3.02","2022-01-19","null"
"7qny","SARS-CoV-2","Orig","RBD","COVOX-58, COVOX-158","null","2.84","2022-01-19","34981049"
"7qnx","SARS-CoV-2","Orig","RBD","Beta-55, EY6A","null","2.92","2022-01-19","34981049"
"7pki","SARS-CoV-2","none","RBD","","ACE2","2.94","2022-01-19","null"
"7msq","SARS-CoV-2","Orig","RBD","AB-3467","null","2.29","2022-01-19","34788600"
"7w99","SARS-CoV-2","Delta","full","","ACE2","3.4","2022-01-12","null"
"7w98","SARS-CoV-2","Delta","full","","ACE2","3.6","2022-01-12","null"
"7w94","SARS-CoV-2","Delta","full","null","null","3.4","2022-01-12","null"
"7w92","SARS-CoV-2","Delta","full","null","null","3.1","2022-01-12","null"
"7w9e","SARS-CoV-2","Delta","full","H5M9","null","3.1","2022-01-12","null"
"7w9c","SARS-CoV-2","Delta","full","","ACE2","3.2","2022-01-12","null"
"7w9b","SARS-CoV-2","Delta","full","","ACE2","3.4","2022-01-12","null"
"7vxm","SARS-CoV-2","Beta","full","","ACE2","3.6","2022-01-12","34930910"
"7tb4","SARS-CoV-2","Omicron","full","null","null","3.29","2022-01-12","33655252"
"7tat","SARS-CoV-2","none","full","S2K146","null","3.2","2022-01-12","null"
"7tas","SARS-CoV-2","none","RBD","S2K146","null","3.2","2022-01-12","null"
"7t9l","SARS-CoV-2","Omicron","RBD","","ACE2","2.66","2021-12-29","null"
"7t9k","SARS-CoV-2","Omicron","full","","ACE2","2.45","2021-12-29","null"
"7t9j","SARS-CoV-2","Omicron","full","2H04","null","2.79","2021-12-29","null"
"7sy8","SARS-CoV-2","none","RBD","","ACE2","3.14","2021-12-29","34914928"
"7sy7","SARS-CoV-2","none","full","","ACE2","2.81","2021-12-29","34914928"
"7sy6","SARS-CoV-2","none","RBD","","ACE2","2.81","2021-12-29","34914928"
"7sy5","SARS-CoV-2","none","full","","ACE2","2.59","2021-12-29","34914928"
"7sy4","SARS-CoV-2","none","RBD","","ACE2","3.35","2021-12-29","34914928"
"7sy3","SARS-CoV-2","none","full","","ACE2","2.95","2021-12-29","34914928"
"7sy2","SARS-CoV-2","none","RBD","","ACE2","3.11","2021-12-29","34914928"
"7sy1","SARS-CoV-2","none","full","","ACE2","2.83","2021-12-29","34914928"
"7sy0","SARS-CoV-2","none","RBD","","ACE2","3.0","2021-12-29","34914928"
"7sxz","SARS-CoV-2","none","full","","ACE2","2.61","2021-12-29","34914928"
"7sxy","SARS-CoV-2","none","RBD","","ACE2","2.79","2021-12-29","34914928"
"7sxx","SARS-CoV-2","none","full","","ACE2","2.66","2021-12-29","34914928"
"7sxw","SARS-CoV-2","none","full","null","null","2.85","2021-12-29","34914928"
"7sxv","SARS-CoV-2","none","full","null","null","2.79","2021-12-29","34914928"
"7sxu","SARS-CoV-2","none","full","null","null","3.0","2021-12-29","34914928"
"7sxt","SARS-CoV-2","none","full","null","null","2.31","2021-12-29","34914928"
"7sxs","SARS-CoV-2","none","full","null","null","2.64","2021-12-29","34914928"
"7sxr","SARS-CoV-2","none","full","null","null","3.0","2021-12-29","34914928"
"7dqa","SARS-CoV-2","Orig","RBD","","","2.8","2021-12-29","null"
"7vxk","SARS-CoV-2","Beta","full","","ACE2","3.7","2021-12-22","34930910"
"7vxi","SARS-CoV-2","Kappa","full","null","null","3.4","2021-12-22","null"
"7vxc","SARS-CoV-2","Kappa","full","","ACE2","3.9","2021-12-22","null"
"7vxb","SARS-CoV-2","Kappa","full","","ACE2","3.9","2021-12-22","null"
"7q0i","SARS-CoV-2","Beta","NTD","Beta-43","null","2.39","2021-12-22","34921776"
"7q0h","SARS-CoV-2","Beta","RBD","Beta-50, Beta-54","null","3.65","2021-12-22","34921776"
"7q0g","SARS-CoV-2","Beta","RBD","Beta-50, FI-3A","null","1.82","2021-12-22","34921776"
"7faf","SARS-CoV-2","none","full","P36-5D2","null","3.69","2021-12-22","null"
"7fae","SARS-CoV-2","none","full","P36-5D2","null","3.65","2021-12-22","null"
"7rpv","SARS-CoV-2","Orig","RBD","","ACE2","3.54","2021-12-15","34845451"
"7q9p","SARS-CoV-2","Beta","full","Beta-06","null","4.5","2021-12-15","34921776"
"7q9m","SARS-CoV-2","Beta","full","Beta-53","null","3.7","2021-12-15","34921776"
"7q9k","SARS-CoV-2","Beta","full","Beta-53","null","4.5","2021-12-15","34921776"
"7q9j","SARS-CoV-2","Beta","full","Beta-26","null","4.0","2021-12-15","34921776"
"7q9i","SARS-CoV-2","Beta","full","Beta-43","null","4.9","2021-12-15","34921776"
"7q9g","SARS-CoV-2","Beta","full","COVOX-222","null","3.3","2021-12-15","34921776"
"7q9f","SARS-CoV-2","Beta","full","Beta-50","null","3.6","2021-12-15","34921776"
"7q6e","SARS-CoV-2","Beta","full","Beta049","null","2.7","2021-12-15","34921776"
"7ps7","SARS-CoV-2","Beta","RBD","Beta-40","null","3.9","2021-12-15","34921776"
"7ps6","SARS-CoV-2","Beta","RBD","Beta-44, Beta-54","null","2.26","2021-12-15","34921776"
"7ps5","SARS-CoV-2","Beta","RBD","Beta-47","null","3.14","2021-12-15","34921776"
"7ps4","SARS-CoV-2","Beta","RBD","Beta-38","null","1.94","2021-12-15","34921776"
"7ps2","SARS-CoV-2","Beta","RBD","Beta-29, Beta-53","null","2.99","2021-12-15","34921776"
"7ps1","SARS-CoV-2","Beta","RBD","Beta-27","null","2.4","2021-12-15","34921776"
"7ps0","SARS-CoV-2","Beta","RBD","Beta-24","null","2.92","2021-12-15","34921776"
"7prz","SARS-CoV-2","Beta","RBD","Beta-22","null","3.2","2021-12-15","34921776"
"7pry","SARS-CoV-2","Beta","RBD","COVOX-45, beta-6","null","3.1","2021-12-15","34921776"
"7fet","SARS-CoV-2","Alpha","full","null","null","3.7","2021-12-15","34750362"
"7fem","SARS-CoV-2","Alpha","full","null","hACE2","4.1","2021-12-15","34750362"
"7sn3","SARS-CoV-2","none","full","C1C-A3","null","3.1","2021-12-08","null"
"7sn2","SARS-CoV-2","none","RBD","C1C-A3","null","4.3","2021-12-08","null"
"7nab","SARS-CoV","null","MPER","CV3-25","null","2.15","2021-12-08","34971573"
"7dk2","SARS-CoV-2","Orig","RBD","MW07","null","3.0","2021-12-08","null"
"7vxf","SARS-CoV-2","Beta","full","","ACE2","3.6","2021-12-01","34930910"
"7vxe","SARS-CoV-2","Kappa","full","null","null","3.2","2021-12-01","null"
"7vxd","SARS-CoV-2","Beta","full","","ACE2","4.0","2021-12-01","34930910"
"7vx5","SARS-CoV-2","Kappa","RBD","","ACE2","3.8","2021-12-01","null"
"7vx4","SARS-CoV-2","Beta","RBD","","ACE2","3.9","2021-12-01","null"
"7b0b","SARS-CoV-2","Orig","RBD","HbnC3t1p1_C6","null","2.98","2021-12-01","null"
"7vxa","SARS-CoV-2","Kappa","full","","ACE2","3.9","2021-11-24","null"
"7vx9","SARS-CoV-2","Kappa","full","","ACE2","4.0","2021-11-24","null"
"7vx1","SARS-CoV-2","Beta","full","null","null","3.5","2021-11-24","null"
"7vne","SARS-CoV-2","Orig","full","n3113.1","null","3.5","2021-11-24","34732694"
"7vnd","SARS-CoV-2","Orig","full","n3113","null","3.6","2021-11-24","34732694"
"7vnc","SARS-CoV-2","Orig","full","n3113","null","3.7","2021-11-24","34732694"
"7efr","SARS-CoV-2","Orig","RBD","","ACE2","2.49","2021-11-24","34531369"
"7efp","SARS-CoV-2","Orig","RBD","","ACE2","2.7","2021-11-24","34531369"
"6x45","SARS-CoV-2","Beta","HR","null","null","2.2","2021-11-24","null"
"7sof","SARS-CoV-2","Kappa","NTD","S2X303","null","3.6","2021-11-17","34751595"
"7soe","SARS-CoV-2","Kappa","full","S2X303","null","2.8","2021-11-17","34751595"
"7sod","SARS-CoV-2","Kappa","NTD","S2L20","null","3.2","2021-11-17","34751595"
"7soc","SARS-CoV-2","Kappa","RBD","S309","null","3.3","2021-11-17","34751595"
"7sob","SARS-CoV-2","Kappa","full","S309, S2L20","null","2.4","2021-11-17","34751595"
"7soa","SARS-CoV-2","Delta","NTD","S2L20","null","3.1","2021-11-17","34751595"
"7so9","SARS-CoV-2","Delta","full","S2M11, S2L20","null","2.4","2021-11-17","34751595"
"7np1","SARS-CoV-2","none","RBD","ION-360","null","2.8","2021-11-17","34211469"
"7e9t","SARS-CoV-2","Beta","full","null","null","10.9","2021-11-17","null"
"7e5s","SARS-CoV-2","Orig","full","null","null","3.6","2021-11-17","33782529"
"7bnv","SARS-CoV-2","Orig","RBD","ION-300","null","2.35","2021-11-17","34211469"
"7sg4","SARS-CoV","null","full","DH1047","null","3.43","2021-11-10","34726473"
"7sbt","SARS-CoV-2","Gamma","full","null","null","3.5","2021-11-10","34698504"
"7sbl","SARS-CoV-2","Delta","full","null","null","3.44","2021-11-10","34698504"
"7n4m","SARS-CoV-2","Orig","RBD","WRAIR-2151","null","3.79","2021-11-10","34716452"
"7n4l","SARS-CoV-2","Orig","RBD","WRAIR-2125","null","3.6","2021-11-10","34716452"
"7sbs","SARS-CoV-2","Gamma","full","","","3.8","2021-11-03","null"
"7sbr","SARS-CoV-2","Kappa","full","","","4.3","2021-11-03","null"
"7sbq","SARS-CoV-2","Kappa","full","","","3.7","2021-11-03","null"
"7sbp","SARS-CoV-2","Kappa","full","","","3.1","2021-11-03","null"
"7sbo","SARS-CoV-2","Delta","full","","","4.3","2021-11-03","null"
"7sbk","SARS-CoV-2","Delta","full","","","3.1","2021-11-03","null"
"7n5h","SARS-CoV-2","Orig","full","2-36","null","3.24","2021-11-03","34671769"
"7ekh","SARS-CoV-2","Orig","RBD","","ACE2","2.4","2021-11-03","34671049"
"7ekg","SARS-CoV-2","Beta","RBD","","ACE2","2.63","2021-11-03","34671049"
"7ekf","SARS-CoV-2","Alpha","RBD","","ACE2","2.85","2021-11-03","34671049"
"7eke","SARS-CoV-2","Orig","RBD","","ACE2","2.7","2021-11-03","34671049"
"7ekc","SARS-CoV-2","Gamma","RBD","","ACE2","2.8","2021-11-03","34671049"
"7v26","SARS-CoV-2","Orig","full","","","3.85","2021-10-20","34554412"
"7v2a","SARS-CoV-2","Orig","full","XG014","","3.4","2021-10-20","34554412"
"7r95","SARS-CoV-2","none","HR1","null","null","null","2021-10-20","34623907"
"7phg","SARS-CoV-2","Orig","RBD","P5C3","null","4.3","2021-10-13","34599871"
"7p40","SARS-CoV-2","none","Full","P5C3","","3.5","2021-10-13","34599871"
"7e5r","SARS-CoV-2","Orig","full","FC05, H014, P17","","3.6","2021-10-13","33782529"
"7d6i","SARS-CoV-2","Orig","RBD","GH12","null","3.41","2021-10-13","null"
"7v89","SARS-CoV-2","Delta","full","","ACE2","2.8","2021-10-06","null"
"7v88","SARS-CoV-2","Delta","full","","ACE2","3.3","2021-10-06","null"
"7v87","SARS-CoV-2","none","full","","ACE2","3.3","2021-10-06","null"
"7v86","SARS-CoV-2","Kappa","full","","ACE2","2.8","2021-10-06","null"
"7v85","SARS-CoV-2","none","full","","ACE2","3.3","2021-10-06","null"
"7v84","SARS-CoV-2","Gamma","RBD","","ACE2","3.0","2021-10-06","null"
"7v83","SARS-CoV-2","Gamma","full","","ACE2","2.8","2021-10-06","null"
"7v82","SARS-CoV-2","Gamma","full","","ACE2","2.8","2021-10-06","null"
"7v81","SARS-CoV-2","Gamma","full","","ACE2","3.2","2021-10-06","null"
"7v80","SARS-CoV-2","Beta","RBD","","ACE2","3.9","2021-10-06","null"
"7v79","SARS-CoV-2","Gamma","full","null","null","3.3","2021-10-06","null"
"7v78","SARS-CoV-2","Gamma","full","null","null","3.4","2021-10-06","null"
"7v77","SARS-CoV-2","Beta","full","","null","3.3","2021-10-06","null"
"7v76","SARS-CoV-2","Beta","full","","","3.2","2021-10-06","null"
"7v8c","SARS-CoV-2","Beta","full","null","null","3.4","2021-10-06","null"
"7v8b","SARS-CoV-2","Delta","RBD","","ACE2","3.2","2021-10-06","null"
"7v8a","SARS-CoV-2","Delta","full","","ACE2","2.7","2021-10-06","null"
"7v7z","SARS-CoV-2","Beta","full","","ACE2","3.1","2021-10-06","null"
"7v7v","SARS-CoV-2","Delta","full","null","null","3.1","2021-10-06","null"
"7v7u","SARS-CoV-2","Delta","full","null","null","3.0","2021-10-06","null"
"7v7t","SARS-CoV-2","Delta","full","null","null","3.0","2021-10-06","null"
"7v7s","SARS-CoV-2","Delta","full","null","null","3.0","2021-10-06","null"
"7v7r","SARS-CoV-2","Delta","full","null","null","2.9","2021-10-06","null"
"7v7q","SARS-CoV-2","Delta","full","null","null","2.8","2021-10-06","null"
"7v7p","SARS-CoV-2","Delta","full","null","null","2.9","2021-10-06","null"
"7v7o","SARS-CoV-2","Delta","full","null","null","2.9","2021-10-06","null"
"7v7n","SARS-CoV-2","Delta","full","null","null","2.9","2021-10-06","null"
"7v7j","SARS-CoV-2","Kappa","full","null","null","3.4","2021-10-06","null"
"7v7i","SARS-CoV-2","Kappa","full","null","null","3.3","2021-10-06","null"
"7v7h","SARS-CoV-2","Kappa","full","null","null","3.2","2021-10-06","null"
"7v7g","SARS-CoV-2","Kappa","full","null","null","3.1","2021-10-06","null"
"7v7f","SARS-CoV-2","Kappa","full","null","null","2.9","2021-10-06","null"
"7v7e","SARS-CoV-2","Kappa","full","null","null","2.9","2021-10-06","null"
"7v7d","SARS-CoV-2","Kappa","full","null","null","3.0","2021-10-06","null"
"7v7a","SARS-CoV-2","Gamma","full","null","null","3.4","2021-10-06","null"
"7s0e","SARS-CoV-2","none","S1 subunit","N-612-004","null","4.9","2021-10-06","34545362"
"7s0d","SARS-CoV-2","none","full","N-612-014","null","3.5","2021-10-06","34545362"
"7s0c","SARS-CoV-2","none","full","N-612-017","null","3.25","2021-10-06","34545362"
"7n4j","SARS-CoV-2","Orig","RBD","WRAIR-2173","null","2.21","2021-10-06","34716452"
"7n4i","SARS-CoV-2","Orig","RBD","WRAIR-2057","null","2.28","2021-10-06","34716452"
"7mzn","SARS-CoV-2","Orig","RBD","PDI 231","null","3.1","2021-10-06","34610292"
"7mzm","SARS-CoV-2","Orig","RBD","PDI 215","null","2.3","2021-10-06","34610292"
"7mzl","SARS-CoV-2","Orig","RBD","PDI 210","null","3.7","2021-10-06","34610292"
"7mzk","SARS-CoV-2","Orig","RBD","WCSL 129, PDI 96","null","2.25","2021-10-06","34610292"
"7mzj","SARS-CoV-2","Orig","RBD","WCSL 129, PDI 93","null","2.4","2021-10-06","34610292"
"7mzi","SARS-CoV-2","Orig","RBD","WCSL 129","null","1.85","2021-10-06","34610292"
"7mzh","SARS-CoV-2","Orig","RBD","WCSL 119","null","2.1","2021-10-06","34610292"
"7mzg","SARS-CoV-2","Orig","RBD","PDI 42","null","2.0","2021-10-06","34610292"
"7mzf","SARS-CoV-2","Orig","RBD","PDI 37","null","2.49","2021-10-06","34610292"
"7k9k","SARS-CoV-2","Orig","RBD","2H04","null","3.14","2021-09-29","34655519"
"7k9j","SARS-CoV-2","Orig","full","2H04","null","3.0","2021-09-29","null"
"7k9i","SARS-CoV-2","Orig","RBD","2B04","null","3.3","2021-09-29","34655519"
"7k9h","SARS-CoV-2","Orig","full","2B04","null","3.2","2021-09-29","null"
"7fg7","SARS-CoV-2","Orig","full","null","null","6.9","2021-09-29","null"
"7fg3","SARS-CoV-2","Orig","full","K-874A","null","3.9","2021-09-29","null"
"7fg2","SARS-CoV-2","Orig","full","K-874A","null","4.4","2021-09-29","null"
"7dhx","SARS-CoV-2","Orig","RBD","","ACE2","2.3","2021-09-29","null"
"7rkv","SARS-CoV-2","none","full","C118","null","3.45","2021-09-22","34534459"
"7rku","SARS-CoV-2","Orig","RBD","GH12","null","3.2","2021-09-22","34534459"
"7rks","SARS-CoV","null","RBD","C118","null","2.7","2021-09-22","34534459"
"7kn4","SARS-CoV-2","Orig","RBD","S-E6","null","2.7","2021-09-22","34716683"
"7kn3","SARS-CoV-2","Orig","RBD","S-B8","null","2.25","2021-09-22","34716683"
"7mte","SARS-CoV-2","Orig","full","null","null","3.2","2021-09-15","34461095"
"7mtd","SARS-CoV-2","Orig","full","null","null","3.5","2021-09-15","34461095"
"7mtc","SARS-CoV-2","Orig","full","null","null","2.6","2021-09-15","34461095"
"7lq7","SARS-CoV-2","Orig","RBD","CV503, COVA1-16","null","3.4","2021-09-15","34519517"
"7e3o","SARS-CoV-2","Orig","RBD","nCoV617","null","2.51","2021-09-15","null"
"7e3l","SARS-CoV-2","Orig","full","58G6","null","3.6","2021-09-15","null"
"7e3k","SARS-CoV-2","Orig","full","13G9","null","3.9","2021-09-15","null"
"7cyv","SARS-CoV-2","Orig","RBD","FD20","null","3.13","2021-09-15","null"
"7ezv","SARS-CoV-2","none","full","BD-812, BD-812","null","3.3","2021-09-08","34433900"
"7eya","SARS-CoV-2","none","full","BD-804","null","3.77","2021-09-08","34433900"
"7ey5","SARS-CoV-2","none","full","BD-771, BD-821","null","3.4","2021-09-08","34433900"
"7ey4","SARS-CoV-2","none","RBD","BD-667","null","3.69","2021-09-08","34433900"
"7ey0","SARS-CoV-2","none","RBD","BD-813, BD-744","null","3.2","2021-09-08","34433900"
"7e5o","SARS-CoV-2","Orig","RBD","NT-193","null","2.8","2021-09-08","34508662"
"7rw2","SARS-CoV-2","Orig","full","5-7","null","3.5","2021-09-01","34230927"
"7l7e","SARS-CoV-2","Orig","RBD","AZD8895, AZD1061","null","3.0","2021-09-01","null"
"7l7d","SARS-CoV-2","Orig","RBD","AZD8895","null","2.5","2021-09-01","null"
"7eh5","SARS-CoV-2","Orig","full","chAb15, chAb45","null","4.0","2021-09-01","34385690"
"7edj","SARS-CoV-2","Alpha","full","null","ACE2","3.3","2021-09-01","34385690"
"7edi","SARS-CoV-2","Alpha","full","null","null","3.3","2021-09-01","34385690"
"7edh","SARS-CoV-2","Alpha","full","null","null","3.6","2021-09-01","34385690"
"7edg","SARS-CoV-2","Alpha","full","null","null","3.2","2021-09-01","34385690"
"7edf","SARS-CoV-2","Alpha","full","null","null","3.2","2021-09-01","34385690"
"7e39","SARS-CoV-2","Orig","RBD","Ab4","null","3.7","2021-09-01","34285195"
"7e3c","SARS-CoV-2","Orig","RBD","Ab1","null","4.2","2021-09-01","34285195"
"7e3b","SARS-CoV-2","Orig","RBD","Ab5","null","4.2","2021-09-01","34285195"
"7fdk","SARS-CoV-2","none","RBD","","ACE2","3.69","2021-08-25","null"
"7fdi","SARS-CoV-2","none","RBD","","ACE2","3.12","2021-08-25","null"
"7fdh","SARS-CoV-2","Alpha","RBD","","ACE2","3.72","2021-08-25","null"
"7fdg","SARS-CoV-2","Alpha","RBD","","ACE2","3.69","2021-08-25","null"
"7my8","SARS-CoV-2","none","Fusion peptide","null","null","null","2021-08-18","34375093"
"7cot","SARS-CoV","null","S2 post fusion subunit","null","null","2.16","2021-08-18","null"
"7rnj","SARS-CoV","null","Stem helix","S2P6","null","2.67","2021-08-11","34344823"
"7olz","SARS-CoV-2","Orig","RBD","Re5D06, Re9F06","null","1.75","2021-08-11","34302370"
"7oay","SARS-CoV-2","null","RBD","F2","null","2.34","2021-08-11","34552091"
"7oau","SARS-CoV-2","null","RBD","C5","null","1.65","2021-08-11","34552091"
"7oaq","SARS-CoV-2","null","RBD","H3,C1","null","1.55","2021-08-11","34552091"
"7oap","SARS-CoV-2","null","RBD","H3,C1","null","1.9","2021-08-11","34552091"
